,Player,Appearances
0,Cristiano Ronaldo,183
1,Iker Casillas,177
2,Lionel Messi,156
3,Xavi Hernández,151
4,Karim Benzema,(12)
5,Raúl González,142
6,Ryan Giggs,141
7,Thomas Müller,(10)
8,Andrés Iniesta,130
9,Sergio Ramos,129
10,Manuel Neuer,128
11,Toni Kroos,(12)
12,Sergio Busquets,125
13,Clarence Seedorf,125
14,Gianluigi Buffon,124
15,Zlatan Ibrahimović,124
16,Gerard Piqué,124
17,Paul Scholes,124
18,Roberto Carlos,120
19,Xabi Alonso,119
20,Carles Puyol,115
21,Thierry Henry,112
22,Philipp Lahm,112
23,Dani Alves,111
24,Petr Čech,111
25,Arjen Robben,110
26,Pepe,109
27,Paolo Maldini,109
28,Gary Neville,109
29,John Terry,109
30,Ashley Cole,108
31,Patrice Evra,108
32,Andrea Pirlo,108
33,David Beckham,107
34,Luka Modrić,(13)
35,Robert Lewandowski,(10)
36,Víctor Valdés,106
37,Frank Lampard,105
38,Cesc Fàbregas,104
39,David Alaba,(12)
40,Oliver Kahn,103
41,Luís Figo,103
42,Fernandinho,103
43,Marcelo,102
44,Andriy Shevchenko,100
45,Ángel Di María,99
46,Alessandro Nesta,99
47,Edwin van der Sar,98
48,Thiago Silva,97
49,Guti,97
50,Javier Zanetti,97
51,Claude Makelele,96
52,Javier Mascherano,96
53,Bastian Schweinsteiger,95
54,Maxwell,94
55,Michael Ballack,93
56,Rio Ferdinand,93
57,Fernando Morientes,93
58,Didier Drogba,92
59,Alessandro Del Piero,88
60,Hasan Salihamidžić,88
61,Raphaël Varane,88
62,Iván Helguera,87
63,Franck Ribéry,87
64,Dejan Stanković,87
65,Ricardo Carvalho,86
66,Kaká,86
67,Jérôme Boateng,85
68,Ivan Rakitić,85
69,Wayne Rooney,85
70,Lúcio,83
71,Gonzalo Higuaín,83
72,Florent Malouda,83
73,Miralem Pjanić,83
74,Arturo Vidal,83
75,Jordi Alba,82
76,Massimo Ambrosini,82
77,Thiago Motta,82
78,Robert Pirès,82
79,Koke,82
80,Mikaël Silvestre,82
81,Casemiro,(11)
82,Frank de Boer,81
83,Sergei Ignashevich,81
84,Filippo Inzaghi,81
85,Míchel Salgado,81
86,Jamie Carragher,80
87,Zinédine Zidane,80
88,Sergio Agüero,79
89,Esteban Cambiasso,79
90,Phillip Cocu,79
91,Gennaro Gattuso,79
92,Antoine Griezmann,79
93,Fernando Torres,79
94,Leonardo Bonucci,78
95,Samuel Eto’o,78
96,Sami Khedira,77
97,Olexandr Shovkovskiy,77
98,Ole Gunnar Solskjær,77
99,Alessio Tacchinardi,77
100,Douglas Costa,76
101,Michael Essien,76
102,Pepe Reina,76
103,Pedro Rodríguez,76
104,Wesley Sneijder,76
105,Mark van Bommel,76
106,Patrick Vieira,76
107,Sylvain Wiltord,76
108,Thiago Alcántara,(10)
109,Neymar,75
110,Deco,75
111,Giorgio Chiellini,74
112,Edgar Davids,74
113,İlkay Gündoğan,(10)
114,Alex Sandro,74
115,Pavel Nedvěd,74
116,Christian Panucci,74
117,Michael Reiziger,74
118,John Arne Riise,74
119,Marquinhos,73
120,Rivaldo,73
121,Gaël Clichy,73
122,Steven Gerrard,73
123,Sidney Govou,73
124,Mats Hummels,73
125,Claudio Pizarro,73
126,Raheem Sterling,(12)
127,Luis Suárez,73
128,Ruud van Nistelrooy,73
129,Isco,72
130,Dida,72
131,Rafinha,72
132,Samuel Kuffour,72
133,Andriy Pyatov,72
134,Anthony Réveillère,72
135,Walter Samuel,72
136,Marco Verratti,72
137,Raúl Albiol,(12)
138,Willian,71
139,William Gallas,71
140,Mohamed Salah,(13)
141,Roy Keane,71
142,Patrick Kluivert,71
143,John O’Shea,71
144,Roar Strand,71
145,Marc-André ter Stegen,71
146,César Azpilicueta,70
147,Michael Carrick,70
148,Edinson Cavani,70
149,David Silva,70
150,Kakha Kaladze,70
151,Yaroslav Rakits’kyy,70
152,Fernando,70
153,Tomáš Rosický,70
154,Mehmet Scholl,70
155,Yaya Touré,70
156,Gianluca Zambrotta,70
157,Giovane Elber,69
158,Jan Oblak,(10)
159,Mesut Özil,69
160,Nicolas Anelka,68
161,Álvaro Arbeloa,68
162,Dani Carvajal,(11)
163,Blaise Matuidi,68
164,Fernando Hierro,68
165,Nicky Butt,67
166,Martín Demichelis,67
167,Jens Lehmann,67
168,Álvaro Morata,67
169,Gianluca Pessotto,67
170,Lilian Thuram,67
171,Kolo Touré,67
172,Gareth Bale,66
173,Alex,66
174,Emmanuel Eboué,66
175,Javi Martínez,66
176,Bernardo Silva,(11)
177,Santiago Cañizares,65
178,Alessandro Costacurta,65
179,Thibaut Courtois,(13)
180,Hernán Crespo,65
181,James Milner,65
182,Nicolás Otamendi,65
183,Axel Witsel,65
184,José Bosingwa,64
185,Diego Godín,64
186,Branislav Ivanović,64
187,Fredrik Ljungberg,64
188,Hugo Lloris,64
189,Jesús Navas,64
190,Saúl Ñíguez,64
191,Willy Sagnol,64
192,Alexis Sánchez,64
193,Júlio César,64
194,Wojciech Szczęsny,64
195,Fabinho,(13)
196,Wes Brown,63
197,Lucho González,63
198,Keylor Navas,63
199,Darijo Srna,63
200,Éric Abidal,62
201,Jörg Butt,62
202,Zé Roberto,62
203,Predrag Djordjević,62
204,Julian Draxler,62
205,Edin Džeko,62
206,Emerson,62
207,Darren Fletcher,62
208,Mario Götze,62
209,Tomáš Hübschman,62
210,Seydou Keita,62
211,Bixente Lizarazu,62
212,Jaap Stam,62
213,Fabio Cannavaro,61
214,Grégory Coupet,61
215,Luisão,61
216,Daniele De Rossi,61
217,Didier Deschamps,61
218,João Moutinho,61
219,Joshua Kimmich,61
220,Roy Makaay,61
221,Antonis Nikopolidis,61
222,Roque Santa Cruz,61
223,Santiago Solari,61
224,Igor Akinfeev,60
225,Nani,60
226,Ricardo Quaresma,60
227,Dimitar Berbatov,60
228,Iván Córdoba,60
229,Kevin De Bruyne,(10)
230,Ederson,(11)
231,Jefferson Farfán,60
232,Erik Hoftun,60
233,Nwankwo Kanu,60
234,Mario Mandžukić,60
235,Maicon Sisenando,60
236,Juan Verón,60
237,Cris,59
238,Denis Irwin,59
239,John Obi Mikel,59
240,Phil Neville,59
241,Juninho Pernambucano,59
242,Robin van Persie,59
243,Theo Walcott,59
244,Eden Hazard,58
245,Aleksandr Hleb,58
246,Samir Nasri,58
247,Aaron Ramsey,58
248,David Trezeguet,58
249,David Albelda,57
250,Joe Cole,57
251,Danilo,57
252,Gilberto Silva,57
253,Aleksandar Kolarov,57
254,Mateo Kovačić,57
255,Jari Litmanen,57
256,Lucas Moura,57
257,Maxi Pereira,57
258,Paul Pogba,57
259,Bacary Sagna,57
260,Francesco Totti,57
261,Vítor Baía,56
262,Daley Blind,56
263,Adriano,56
264,Nemanja Matić,56
265,Paolo Montero,56
266,Marc Overmars,56
267,Angelo Peruzzi,56
268,Marco Reus,56
269,Javier Saviola,56
270,Aleksei Berezutski,55
271,David de Gea,55
272,Cafu,55
273,Mathieu Flamini,55
274,Sadio Mané,(13)
275,Adrien Rabiot,55
276,Bent Skammelsrud,55
