File Name,File Path
paris saint germain,top_5_football_leagues/french-ligue1/paris-saint-germain.png
stade de reims,top_5_football_leagues/french-ligue1/stade-de-reims.png
angers sco,top_5_football_leagues/french-ligue1/angers-sco.png
rc lens,top_5_football_leagues/french-ligue1/rc-lens.png
montpellier herault,top_5_football_leagues/french-ligue1/montpellier-herault.png
stade rennais fc,top_5_football_leagues/french-ligue1/stade-rennais-fc.png
ogc nice,top_5_football_leagues/french-ligue1/ogc-nice.png
clermont foot 63,top_5_football_leagues/french-ligue1/clermont-foot-63.png
fc girondins de bordeaux,top_5_football_leagues/french-ligue1/fc-girondins-de-bordeaux.png
olympique lyonnais,top_5_football_leagues/french-ligue1/olympique-lyonnais.png
fc nantes,top_5_football_leagues/french-ligue1/fc-nantes.png
fc lorient,top_5_football_leagues/french-ligue1/fc-lorient.png
fc metz,top_5_football_leagues/french-ligue1/fc-metz.png
as saint etienne,top_5_football_leagues/french-ligue1/as-saint-etienne.png
as monaco,top_5_football_leagues/french-ligue1/as-monaco.png
rc strasbourg alsace,top_5_football_leagues/french-ligue1/rc-strasbourg-alsace.png
olympique de marseille,top_5_football_leagues/french-ligue1/olympique-de-marseille.png
losc lille,top_5_football_leagues/french-ligue1/losc-lille.png
stade brestois 29,top_5_football_leagues/french-ligue1/stade-brestois-29.png
estac troyes,top_5_football_leagues/french-ligue1/estac-troyes.png
lazio,top_5_football_leagues/serie-a/lazio.png
napoli,top_5_football_leagues/serie-a/napoli.png
genoa,top_5_football_leagues/serie-a/genoa.png
juventus,top_5_football_leagues/serie-a/juventus.png
spezia,top_5_football_leagues/serie-a/spezia.png
sampdoria,top_5_football_leagues/serie-a/sampdoria.png
roma,top_5_football_leagues/serie-a/roma.png
inter,top_5_football_leagues/serie-a/inter.png
torino,top_5_football_leagues/serie-a/torino.png
cagliari,top_5_football_leagues/serie-a/cagliari.png
ac milan,top_5_football_leagues/serie-a/ac-milan.png
fiorentina,top_5_football_leagues/serie-a/fiorentina.png
udinese,top_5_football_leagues/serie-a/udinese.png
venezia,top_5_football_leagues/serie-a/venezia.png
atalanta,top_5_football_leagues/serie-a/atalanta.png
salernitana,top_5_football_leagues/serie-a/salernitana.png
sassuolo,top_5_football_leagues/serie-a/sassuolo.png
bologna,top_5_football_leagues/serie-a/bologna.png
empoli,top_5_football_leagues/serie-a/empoli.png
hellas verona,top_5_football_leagues/serie-a/hellas-verona.png
norwich city,top_5_football_leagues/premier-league/norwich-city.png
everton,top_5_football_leagues/premier-league/everton.png
manchester united,top_5_football_leagues/premier-league/manchester-united.png
arsenal,top_5_football_leagues/premier-league/arsenal.png
leicester city,top_5_football_leagues/premier-league/leicester-city.png
watford,top_5_football_leagues/premier-league/watford.png
brighton,top_5_football_leagues/premier-league/brighton.png
leeds united,top_5_football_leagues/premier-league/leeds-united.png
southampton,top_5_football_leagues/premier-league/southampton.png
tottenham hotspur,top_5_football_leagues/premier-league/tottenham-hotspur.png
newcastle united,top_5_football_leagues/premier-league/newcastle-united.png
liverpool,top_5_football_leagues/premier-league/liverpool.png
brentford,top_5_football_leagues/premier-league/brentford.png
chelsea,top_5_football_leagues/premier-league/chelsea.png
aston villa,top_5_football_leagues/premier-league/aston-villa.png
manchester city,top_5_football_leagues/premier-league/manchester-city.png
wolves,top_5_football_leagues/premier-league/wolves.png
west ham united,top_5_football_leagues/premier-league/west-ham-united.png
crystal palace,top_5_football_leagues/premier-league/crystal-palace.png
burnley,top_5_football_leagues/premier-league/burnley.png
redbull leipzig,top_5_football_leagues/bundesliga/redbull-leipzig.png
bayern,top_5_football_leagues/bundesliga/bayern.png
furth,top_5_football_leagues/bundesliga/furth.png
leverkusen,top_5_football_leagues/bundesliga/leverkusen.png
nuremberg,top_5_football_leagues/bundesliga/nuremberg.png
hannover,top_5_football_leagues/bundesliga/hannover.png
dortmund,top_5_football_leagues/bundesliga/dortmund.png
moenchengladbach,top_5_football_leagues/bundesliga/moenchengladbach.png
freiburg,top_5_football_leagues/bundesliga/freiburg.png
augsburg,top_5_football_leagues/bundesliga/augsburg.png
hoffenheim,top_5_football_leagues/bundesliga/hoffenheim.png
mainz,top_5_football_leagues/bundesliga/mainz.png
wolfsburg,top_5_football_leagues/bundesliga/wolfsburg.png
hertha bsc berlin,top_5_football_leagues/bundesliga/hertha-bsc-berlin.png
dusseldorf,top_5_football_leagues/bundesliga/dusseldorf.png
frankfurt,top_5_football_leagues/bundesliga/frankfurt.png
bremen,top_5_football_leagues/bundesliga/bremen.png
stuttgart,top_5_football_leagues/bundesliga/stuttgart.png
schalke,top_5_football_leagues/bundesliga/schalke.png
hamburg,top_5_football_leagues/bundesliga/hamburg.png
rayo vallecano,top_5_football_leagues/la-liga/rayo-vallecano.png
celta,top_5_football_leagues/la-liga/celta.png
atletico madrid,top_5_football_leagues/la-liga/atletico-madrid.png
getafe,top_5_football_leagues/la-liga/getafe.png
osasuna,top_5_football_leagues/la-liga/osasuna.png
barcelona,top_5_football_leagues/la-liga/barcelona.png
espanyol,top_5_football_leagues/la-liga/espanyol.png
real madrid,top_5_football_leagues/la-liga/real-madrid.png
elche,top_5_football_leagues/la-liga/elche.png
real sociedad,top_5_football_leagues/la-liga/real-sociedad.png
mallorca,top_5_football_leagues/la-liga/mallorca.png
villarreal,top_5_football_leagues/la-liga/villarreal.png
granada,top_5_football_leagues/la-liga/granada.png
valencia,top_5_football_leagues/la-liga/valencia.png
athletic,top_5_football_leagues/la-liga/athletic.png
cadiz,top_5_football_leagues/la-liga/cadiz.png
deportivo alavez,top_5_football_leagues/la-liga/deportivo-alavez.png
levante,top_5_football_leagues/la-liga/levante.png
sevilla,top_5_football_leagues/la-liga/sevilla.png
real betis,top_5_football_leagues/la-liga/real-betis.png
